OTU	a1	a2	a3	a4	a5	a6
OTU_462	0	0	1	1	0	1
OTU_465	12	12	7	20	28	34
OTU_466	3	6	24	6	0	3
OTU_467	7	3	3	3	2	2
OTU_468	0	0	0	1	0	0
OTU_469	0	0	1	3	2	0
OTU_472	0	0	0	0	0	1
OTU_473	0	1	2	1	0	1
OTU_474	4	7	9	7	3	11
OTU_476	1	1	1	0	2	0
OTU_477	5	7	1	7	3	0
OTU_478	3	5	7	4	6	3
OTU_479	17	31	20	11	14	6
OTU_480	3	1	3	2	1	2
OTU_481	0	0	0	2	0	1
OTU_482	2	0	1	0	0	3
OTU_484	4	0	0	0	2	4
OTU_485	1	1	6	7	0	7
OTU_486	3	12	4	2	10	5
OTU_487	1	0	0	2	0	0
OTU_488	0	0	0	1	0	0
OTU_490	0	0	0	2	1	1
OTU_491	23	15	26	22	6	13
OTU_492	0	0	2	1	1	1
OTU_493	10	35	20	13	12	21
OTU_494	0	0	0	1	0	0
OTU_496	59	16	41	67	31	12
OTU_497	0	0	2	0	2	0
OTU_498	0	0	1	2	2	0
OTU_500	0	0	0	1	0	0
OTU_501	0	0	0	0	2	0
OTU_502	2	2	0	3	0	2
OTU_503	1	0	1	1	0	0
OTU_504	0	3	2	2	2	1
OTU_505	1	1	1	1	0	3
OTU_506	1	0	0	3	0	0
OTU_507	2	1	0	1	0	1
OTU_508	0	0	0	1	0	0
OTU_509	1	0	2	0	3	0
OTU_510	0	0	0	2	0	0
OTU_511	0	2	1	0	1	0
OTU_512	1	0	0	0	0	0
OTU_513	2	2	1	3	1	2
OTU_514	0	0	1	0	0	0
OTU_516	2	3	2	2	0	1
OTU_517	1	1	0	1	5	0
OTU_518	1	1	0	0	1	0
OTU_519	8	10	12	8	3	4
OTU_520	13	1	2	4	7	4
OTU_523	0	0	0	1	0	0
OTU_524	1	1	0	1	1	0
OTU_525	1	0	1	0	2	1
OTU_526	2	0	2	1	1	1
OTU_527	0	0	0	1	0	1
OTU_529	9	4	9	3	5	4
OTU_530	1	0	0	0	1	0
OTU_531	0	0	0	1	0	0
OTU_532	1	1	0	0	0	0
OTU_533	0	1	0	0	0	0
OTU_536	0	1	1	0	0	1
OTU_537	0	1	0	1	0	0
OTU_538	2	1	3	1	2	1
OTU_540	2	0	1	1	1	1
OTU_541	0	0	0	0	0	1
OTU_542	0	1	0	2	0	0
OTU_543	1	0	0	1	1	1
OTU_546	2	0	1	5	0	1
OTU_548	1	1	1	1	1	3
OTU_549	2	1	3	2	1	1
OTU_551	2	2	5	2	2	0
OTU_556	0	0	1	0	0	0
OTU_557	1	1	0	1	0	0
OTU_558	1	0	0	0	0	4
OTU_559	0	0	0	2	0	0
OTU_561	1	0	2	0	1	1
OTU_562	0	2	0	2	0	0
OTU_563	0	0	1	2	0	0
OTU_564	9	1	4	2	3	2
OTU_565	0	1	1	6	4	1
OTU_566	2	0	2	4	0	2
OTU_567	0	0	0	1	0	0
OTU_568	2	0	4	5	3	4
OTU_569	1	1	0	4	1	0
OTU_570	0	0	0	1	0	0
OTU_572	0	0	1	0	0	0
OTU_573	0	1	0	0	0	0
OTU_575	0	0	0	2	0	0
OTU_576	0	0	0	0	3	1
OTU_577	0	0	0	0	0	1
OTU_578	3	5	24	12	4	3
OTU_579	2	3	2	11	0	4
OTU_580	0	2	0	0	0	1
OTU_581	0	0	0	2	0	2
OTU_583	3	3	3	1	2	1
OTU_584	1	4	0	2	3	1
OTU_585	0	0	0	0	1	0
OTU_588	1	2	0	2	0	5
OTU_590	0	0	1	0	0	1
OTU_591	0	0	0	0	0	1
OTU_592	0	0	1	1	0	1
OTU_593	0	0	0	1	0	0
OTU_594	0	0	0	0	2	2
OTU_595	2	0	1	1	1	0
OTU_597	0	0	1	2	0	2
OTU_598	0	0	0	1	0	0
OTU_600	0	0	0	2	0	0
OTU_601	0	0	0	0	0	1
OTU_604	1	0	0	0	0	0
OTU_605	0	0	1	1	0	0
OTU_606	8	3	22	7	8	5
OTU_610	4	3	4	4	4	2
OTU_611	2	0	1	1	0	1
OTU_612	0	0	1	0	3	1
